id (text),name (text),price (float),description (text),status (select),featureImage (relationship),reviews (relationship),stock (integer),shippingZones (relationship),metaDescription (text),metaImage (relationship),metaTitle (text),sku (text),variant (relationship),brand (relationship),relatedProducts (relationship),productBundle (relationship),categories (relationship),canonicalCategory (relationship),type (select),discount (float)
3,Nouveau Polo Shirt,$67.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,out of stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",0,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Nouveau Polo Shirt,293638,Nouveau Polo Shirt M,crazy-boxer,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0.33
8,Rock Star Cargo Pants,$45.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Rock Star Cargo Pants,29836,Rock Star Cargo Pants M,commons,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
13,Maxx 7 Pack Trunks,$10.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,discontinued,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Maxx 7 Pack Trunks,836789,Maxx 7 Pack Trunks M,bonds,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
18,Darwin Boy Engineers Chino,$89.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Darwin Boy Engineers Chino,987276,Darwin Boy Engineers Chino M,lonsdale london,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
23,Disney Friends Hipster Brief,$99.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Disney Friends Hipster Brief,256288,Disney Friends Hipster Brief M,graphite workwear,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
5,Commons Tapered Trackpants,$12.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Commons Tapered Trackpants,234527,"Commons Tapered Trackpants S, Commons Tapered Trackpants M, Commons Tapered Trackpants L",graphite workwear,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0.1
10,Casual Shorts,$34.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Casual Shorts,887766,Casual Shorts M,fila,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0
15,Red Barron Organic Ankle Warmers,$89.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,discontinued,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Red Barron Organic Ankle Warmers,265752,Red Barron Organic Ankle Warmers M,crazy-boxer,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0
20,Active Core Woven Shorts,$45.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Active Core Woven Shorts,672772,Active Core Woven Shorts M,commons,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0
25,His Dark Materials Trilogy (ePub),$10.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,His Dark Materials Trilogy (ePub),298725,His Dark Materials Trilogy (ePub) M,bonds,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",books,digital,0
